#Title: An Off-line Scan of the BATSE Daily Records and a Large Uniform Sample 
#       of Gamma-Ray Bursts
#Authors: Stern B.E.,  Tikhomirova Y., Kompaneets D., Svensson R., Poutanen J.  
#Table: GRB characteristics
#================================================================================
#Byte-by-byte Description of file: datafile2.txt
#--------------------------------------------------------------------------------
#   Bytes Format Units            Label     Explanations
#--------------------------------------------------------------------------------
#   1-  5 I5     d                TJD       Event identifier
#       6 A1     ---              Char      Character of the event identifier   
#   8- 12 I5     s                Start     Start of the event within the day (1)     
#  14- 17 I4     ---              Trigger   BATSE trigger number, or 1 for 
#                                            non-triggered events
#  19- 24 F6.3   "photons/cm2/s"  Flux      Peak flux in the 50 - 300 keV range 
#  26- 30 F5.1   deg              RAdeg     Right Ascension (J2000) 
#  32- 36 F5.1   deg              DEdeg     Declination (J2000)
#  38- 41 F4.1   deg              Error     Size of the 1 sigma confidence area
#  43- 45 I3     s                T90       Duration rounded to integer seconds (2)
#  47- 49 I3     ---              N50       Number of 1.024 s bins  where the signal 
#                                            exceeds 50% of the peak value (2)
#      51 I1     ---              K98       Identification with the K98 catalog (3)
#      53 I1     ---              Gap       Flag characterizing the data quality (4)
#--------------------------------------------------------------------------------
#Note (1): The start time is defined as the beginning of the first 1.024 s bin
#          within the burst window where the fitted background was exceeded by 4
#          sigma in the  50-300 keV range.  If there was no 4 sigma excess in
#          1.024 s bins, the procedure is repeated with 2.048 s, 4.096 s, 8.192 s
#          bins.  If the burst consists of a few widely spaced episodes, the GRB
#          window covers the highest peak and does not necessarily coincide with
#          the actual beginning.
#Note (2): The value of T90 for weak short events is strongly affected by the
#          Poisson noise and should be used with care.  Poisson fluctuations
#          cause an overestimation of T90 for such events.  If N50 is 1, the peak
#          flux is  below 0.5 photons/cm2/s and T90 is within 4 s, then this is
#          probably a one-bin event with T90<1 s.  Therefore we do not recommend
#          to use this duration distribution for a statistical analysis for
#          bursts of durations less than a few seconds.
#Note (3): Flag equal to 1 means that the event exist in the K98 catalog.  The
#          agreement in the GRB location sometimes is very poor (difference up to
#          45 deg).  We consider bursts to coincide if they overlap in time.  If
#          they  differ in time by 100-300 s but have close locations, we
#          considered them identical anyway.
#Note (4):
#    0 = normal data;
#    1 = estimate of duration is problematic because of a data gap;
#    2 = estimate of the peak flux is problematic because of a data gap;
#    3 = 1 and 2 simultaneously.
#--------------------------------------------------------------------------------
08460b	29253	    1	  0.439	 191.9	  71.5	  5.4	  22	  12	 0	 0
08462a	 7628	  575	  0.820	 133.8	 -14.9	 11.8	   1	   1	 0	 0
08462b	47525	  577	  0.710	 275.3	  11.4	  2.6	  26	  12	 0	 0
08463c	64097	    1	  0.215	  70.6	  41.2	 39.5	   5	   1	 0	 0
08464b	 4003	    1	  0.192	 222.3	   6.1	 16.7	  62	   6	 0	 0
08465b	19099	    1	  0.530	 355.2	  25.4	 15.9	   1	   1	 0	 0
08466a	41789	    1	  0.191	 243.6	  82.3	 13.5	  29	   5	 0	 0
08467a	15494	  591	  0.898	 256.9	 -68.6	  7.7	  47	   6	 0	 0
08467c	42374	    1	  0.121	  84.0	  49.0	 12.0	  76	  25	 0	 0
08467d	51051	  593	  0.674	 136.4	  55.8	  7.9	  70	   3	 0	 0
08467e	80833	  594	  1.065	 315.0	  20.5	  2.9	  27	   8	 0	 0
08468a	 8186	    1	  0.710	 187.5	  19.9	  9.6	  65	   4	 0	 0
08470a	 2716	  603	  1.147	  81.4	 -34.7	 12.4	   2	   2	 0	 0
08470c	55276	  606	  0.921	 204.8	 -57.0	  3.3	  25	   7	 0	 0
08471a	 8164	    1	  0.181	 266.9	 -28.5	 28.5	   3	   3	 0	 0
08471d	30801	  612	  3.125	 318.9	  17.4	  1.5	  13	   6	 0	 0
08471e	32214	    1	  0.622	  15.2	 -10.6	  8.0	 139	  13	 0	 0
08473b	61397	    1	  0.171	  61.2	   9.1	 12.9	  50	  17	 0	 0
08473d	66546	    1	  0.345	 266.5	  72.4	 15.0	   6	   1	 0	 0
08474a	18898	    1	  0.171	 201.4	 -55.4	 21.6	  41	   9	 0	 0
08475a	10253	    1	  0.697	 257.8	 -33.6	  6.7	   6	   2	 0	 0
08475b	26433	  647	  7.097	 152.6	   8.3	  0.7	  54	   7	 0	 0
08477a	 3503	  658	  1.199	 237.1	  36.5	  2.7	  28	   5	 0	 0
08477f	70546	  660	  2.895	 287.6	  62.6	  2.0	  17	   3	 0	 0
08479a	52318	    1	  0.156	 175.3	 -39.0	  8.8	 174	   2	 0	 0
08479b	52433	  666	  0.739	  97.6	 -74.3	 18.7	   4	   3	 0	 0
08481a	48980	  673	  0.370	  26.4	 -69.1	  6.2	  26	  18	 0	 0
08482c	40132	  676	  4.290	  62.2	  46.8	  0.8	  72	  10	 0	 0
08482d	41941	    1	  0.584	  60.0	  35.3	  3.1	 324	  63	 0	 0
08482e	50339	  677	  0.741	 136.3	 -48.6	 12.5	   1	   1	 0	 0
08482f	69273	  678	 10.268	 340.2	  29.7	  0.7	  47	   6	 0	 0
08483b	34246	  680	  0.866	 143.4	 -38.8	  4.3	  24	   4	 0	 0
08483e	78341	    1	  0.227	 183.5	 -17.9	 21.9	  38	   5	 0	 0
08484a	25868	    1	  0.198	  50.5	 -14.7	 13.8	  79	  14	 0	 0
08484e	53443	  686	  0.934	 170.6	  -0.2	  6.7	  22	   2	 0	 0
08485b	61225	  690	  0.258	 103.1	  40.3	 36.8	   4	   3	 0	 0
08486c	49444	  692	  1.127	 261.7	 -30.3	  5.5	  50	   3	 0	 0
08487d	46781	    1	  0.666	 173.8	 -27.7	  2.3	 243	  67	 0	 0
08488d	23045	    1	  0.511	 184.6	 -53.5	  4.2	 153	  22	 0	 1
08488e	34835	    1	  3.650	 311.6	  40.0	  2.7	  10	   2	 0	 0
08488h	78146	    1	  0.094	 230.3	 -54.1	 43.5	  28	   7	 0	 0
08491a	75679	  717	  0.275	 109.3	   3.6	 22.5	  26	   4	 0	 0
08494b	73017	  727	  0.845	  72.0	  47.4	  6.0	  15	   2	 0	 0
08495d	59800	    1	  0.289	  53.2	   7.0	  8.4	 116	  14	 0	 0
08496b	29820	  734	  0.413	  65.1	 -32.4	 17.2	   5	   1	 0	 0
08497a	 1520	    1	  4.345	 304.0	  57.6	  1.3	   8	   2	 0	 1
08497e	81580	  741	  0.299	  68.1	  28.6	 10.7	  11	   6	 0	 0
08498a	 5148	    1	  1.568	 202.1	  14.7	  1.4	  61	  15	 0	 0
08500d	65554	    1	  0.957	 220.0	 -47.8	  4.7	  15	   4	 0	 1
08501a	15755	    1	  0.519	 117.6	  62.9	  9.3	 249	   9	 0	 1
08501b	37450	    1	  0.497	  54.0	   7.4	  4.5	  31	  15	 0	 0
08501c	82535	  752	  0.764	 297.1	  -6.5	  6.9	  13	   2	 0	 0
08502d	35097	  753	  0.550	 238.1	  11.2	  8.7	  26	   4	 0	 0
08503b	56090	  755	  0.545	 337.5	 -13.7	 12.6	  25	   3	 0	 0
08504c	85717	  761	  3.208	 354.6	 -80.4	  0.0	  73	  15	 0	 0
08506a	 3917	  764	  1.182	 136.1	 -28.1	  2.2	  29	   7	 0	 0
08506b	 6119	    1	  0.122	 147.5	   4.3	 23.1	  22	  10	 0	 0
08507a	33924	    1	  4.170	 230.8	 -32.0	  1.6	  23	   2	 0	 0
08507b	39591	  773	  0.923	 223.2	 -14.5	  2.8	  60	  14	 0	 0
08509a	13251	    1	  0.302	 146.4	 -44.9	 12.1	  51	  10	 0	 0
08509b	14747	    1	  3.110	 150.7	  30.3	  1.2	 485	  11	 0	 0
08511a	21372	  788	  0.417	 112.3	  -1.5	 16.0	   3	   1	 0	 0
08511b	44206	    1	  0.456	 170.8	 -37.1	  4.5	 135	  28	 0	 1
08513a	34796	  795	  1.059	 169.8	 -30.9	  3.0	  49	   5	 0	 0
