#%GRB	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]	BAT Fluence 90% Error (15-150 keV) [10^-7 erg/cm^2]	BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]	BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]	Redshift
070521	37.900	80.10	1.77	6.53	0.27	0.553 (Subaru: emission)
070508	20.900	196.00	2.73	24.10	0.61	0.82 (VLT: emission, tentative)
070506	4.300	2.10	0.23	0.96	0.13	2.31 (VLT: absorption)
070429B	0.470	0.63	0.10	1.76	0.24	0.904 (Keck I: from probable host)
070419A	115.600	5.58	0.83	0.20	0.10	0.97 (Keck I: absorption)
070411	121.500	27.00	1.55	0.91	0.13	2.954 (VLT: absorption)
070318	74.600	24.80	1.12	1.76	0.15	0.836 (VLT: absorption)|0.840 (Gemini/Magellan: absorption)
070306	209.500	53.80	2.86	4.07	0.21	1.497 (VLT: emission)
070208	47.700	4.45	1.01	0.90	0.22	1.165 (Gemini-North: emission)
070129	460.600	29.80	2.67	0.55	0.12	2.3384 (TOUGH: emission)
070110	88.400	16.20	1.08	0.60	0.12	2.352 (VLT: absorption)
070103	18.600	3.38	0.46	1.04	0.15	2.6208 (TOUGH: emission)
061222B	40.000	22.40	1.83	1.59	0.36	3.355 (Magellan: absorption)
061222A	71.400	79.90	1.58	8.53	0.26	2.088 (Perley)
061217	0.210	0.42	0.07	1.49	0.24	0.827 (Magellan: emission)
061210	85.300	11.10	1.76	5.31	0.47	0.41 possible host redshift (Keck: emission)
061201	0.760	3.34	0.27	3.86	0.31	0.111 (Magellan, from probable host)
061121	81.300	137.00	1.99	21.10	0.46	1.314 (Keck I: absorption)
061110B	134.000	13.30	1.21	0.45	0.11	3.44 (VLT)
061110A	40.700	10.60	0.76	0.53	0.12	0.758 (VLT: emission)
061021	46.200	29.60	1.01	6.11	0.27	0.3463 (Fynbo)
061007	75.300	444.00	5.62	14.60	0.37	1.261 (Magellan Clay: absorption)|1.262 (VLT: absorption)
060927	22.500	11.30	0.68	2.70	0.17	5.6 (VLT: absorption)
060926	8.000	2.19	0.25	1.09	0.14	3.208 (VLT: absorption)
060912A	5.000	13.50	0.62	8.58	0.44	probably host redshift:|0.937 (VLT: emission)
060908	19.300	28.00	1.11	3.03	0.25	1.8836 (Fynbo)
060906	43.500	22.10	1.36	1.97	0.28	3.685 (VLT: absorption)
060904B	171.500	16.20	1.43	2.44	0.21	0.703 (VLT: absorption)
060814	145.300	146.00	2.39	7.27	0.29	0.84 (Keck I: emission, from host)
060729	115.300	26.10	2.11	1.17	0.13	0.54 (VLT, Gemini South: absorption)
060719	66.900	15.00	0.91	2.16	0.20	1.5320 (TOUGH: emission)
060714	115.000	28.30	1.67	1.28	0.13	2.71 (VLT: absorption)
060708	10.200	4.94	0.37	1.94	0.14	<2.3 (VLT)
060707	66.200	16.00	1.51	1.01	0.23	3.43 (VLT: absorption)
060614	108.700	204.00	3.63	11.50	0.74	0.13 (Gemini: emission)|0.125 (VLT: emission)
060607A	102.200	25.50	1.12	1.40	0.13	3.082 (VLT: absorption)
060605	79.100	6.97	0.90	0.46	0.12	3.8 (ANU: absorption)|3.7 (SALT: absorption)|3.78 (Calar Alto)
060604	95.000	4.02	1.06	0.34	0.13	2.1357 (TOUGH: emission)
060602A	75.000	16.10	1.57	0.56	0.20	0.787 (VLT: emission, probable)
060526	298.200	12.60	1.65	1.67	0.18	3.21 (Magellan: absorption)
060522	71.100	11.40	1.11	0.55	0.15	5.11 (Keck I: absorption)
060512	8.500	2.32	0.40	0.88	0.20	0.4428 (Keck I: emission)
060510B	275.200	40.70	1.76	0.57	0.11	4.9 (Gemini)
060505	~4	9.44	1.71	2.65	0.63	0.089 (Gemini: emission)
060502B	0.131	0.40	0.05	0.62	0.12	0.287 (Keck I-candidate: absorption)
060502A	28.400	23.10	1.02	1.69	0.21	1.51 (Gemini: absorption)
060418	103.100	83.30	2.53	6.52	0.35	1.490 (Magellan: absorption)|1.489 (VLT: absorption)
060223A	11.300	6.73	0.48	1.35	0.18	4.41 (Keck: absorption)
060218	~2100	15.70	1.52	0.25	0.11	0.0331 (MDM: emission)|0.033 (VLT: emission)|0.033 (Gemini: emission)|0.033 (BTA: emission)|0.033 (Keck I: emission)
060210	255.000	76.60	4.09	2.72	0.28	3.91 (Gemini: absoption)
060206	7.600	8.31	0.42	2.79	0.17	4.045 (NOT: absorption)|4.048 (Lick: absorption)|4.05 (Subaru: absorption)
060124	~750	4.61	0.53	0.89	0.18	2.30 (MDM: absorption)|2.297 (Keck/ESI: absorption)|2.296 (Keck/LRIS: absorption)
060123	900	3.0	n/a	0.04	n/a	1.099 (probable, Gemini: emission)
